Source,Source City,Source Country,Target,Target City,Target Country,Source Lat,Source Lon,Target Lat,Target Lon,Weight
FLL,Fort Lauderdale,USA,BNA,Nashville,USA,26.0726,-80.1527,36.1245,-86.6782,4247
AMA,Amarillo,USA,DAL,Dallas/Fort Worth,USA,35.2194,-101.706,32.8471,-96.8518,28275
AUS,Austin,USA,LAS,Las Vegas,USA,30.1945,-97.6699,36.0801,-115.152,12214
AUS,Austin,USA,MAF,Midland/odessa,USA,30.1945,-97.6699,31.9425,-102.202,6871
BHM,Birmingham (US),USA,JAX,Jacksonville (US) FL,USA,33.5629,-86.7535,30.4941,-81.6879,4247
BNA,Nashville,USA,BWI,Baltimore,USA,36.1245,-86.6782,39.1753,-76.6683,35757
BNA,Nashville,USA,HOU,Houston,USA,36.1245,-86.6782,29.6454,-95.2789,26715
BNA,Nashville,USA,OAK,Oakland,USA,36.1245,-86.6782,37.7213,-122.221,4247
BNA,Nashville,USA,PVD,Providence,USA,36.1245,-86.6782,41.7326,-71.4204,8357
BUR,Burbank,USA,SJC,San Jose (US),USA,34.2007,-118.359,37.3626,-121.929,32906
BWI,Baltimore,USA,BNA,Nashville,USA,39.1753,-76.6683,36.1245,-86.6782,35757
ABQ,Albuquerque,USA,LBB,Lubbock,USA,35.0402,-106.609,33.6636,-101.823,7556
ABQ,Albuquerque,USA,MDW,Chicago,USA,35.0402,-106.609,41.7861,-87.7525,4247
SAN,San Diego,USA,ABQ,Albuquerque,USA,32.7336,-117.19,35.0402,-106.609,16791
SAN,San Diego,USA,MDW,Chicago,USA,32.7336,-117.19,41.7861,-87.7525,12741
SAN,San Diego,USA,OAK,Oakland,USA,32.7336,-117.19,37.7213,-122.221,59505
SDF,Louisville,USA,BWI,Baltimore,USA,38.1744,-85.736,39.1753,-76.6683,20550
SLC,Salt Lake City,USA,BWI,Baltimore,USA,40.7884,-111.978,39.1753,-76.6683,4247
LAS,Las Vegas,USA,OMA,Omaha,USA,36.0801,-115.152,41.3032,-95.8941,12604
LAS,Las Vegas,USA,SAT,San Antonio,USA,36.0801,-115.152,29.5337,-98.4698,16973
LAS,Las Vegas,USA,AMA,Amarillo,USA,36.0801,-115.152,35.2194,-101.706,4247
DAL,Dallas/Fort Worth,USA,ABQ,Albuquerque,USA,32.8471,-96.8518,35.0402,-106.609,28209
DAL,Dallas/Fort Worth,USA,AUS,Austin,USA,32.8471,-96.8518,30.1945,-97.6699,44981
DAL,Dallas/Fort Worth,USA,LBB,Lubbock,USA,32.8471,-96.8518,33.6636,-101.823,27962
BOI,Boise,USA,LAS,Las Vegas,USA,43.5644,-116.223,36.0801,-115.152,8494
AUS,Austin,USA,SAN,San Diego,USA,30.1945,-97.6699,32.7336,-117.19,4247
BHM,Birmingham (US),USA,STL,St Louis,USA,33.5629,-86.7535,38.7487,-90.37,4247
BNA,Nashville,USA,ONT,Ontario,USA,36.1245,-86.6782,34.056,-117.601,4247
BOI,Boise,USA,RNO,Reno,USA,43.5644,-116.223,39.4991,-119.768,12094
STL,St Louis,USA,MDW,Chicago,USA,38.7487,-90.37,41.7861,-87.7525,46535
TPA,Tampa,USA,BHM,Birmingham (US),USA,27.9755,-82.5332,33.5629,-86.7535,8494
MCI,Kansas City,USA,LAX,Los Angeles,USA,39.2976,-94.7139,33.9425,-118.408,20368
MCI,Kansas City,USA,MDW,Chicago,USA,39.2976,-94.7139,41.7861,-87.7525,61343
MCO,Orlando,USA,ALB,Albany (US) NY,USA,28.4294,-81.309,42.7483,-73.8017,8494
MDW,Chicago,USA,MCI,Kansas City,USA,41.7861,-87.7525,39.2976,-94.7139,61602
TPA,Tampa,USA,MCI,Kansas City,USA,27.9755,-82.5332,39.2976,-94.7139,4247
BWI,Baltimore,USA,ABQ,Albuquerque,USA,39.1753,-76.6683,35.0402,-106.609,4247
BWI,Baltimore,USA,ORF,Norfolk,USA,39.1753,-76.6683,36.8946,-76.2012,27126
CRP,Corpus Christi,USA,HOU,Houston,USA,27.7704,-97.5012,29.6454,-95.2789,20764
HOU,Houston,USA,BNA,Nashville,USA,29.6454,-95.2789,36.1245,-86.6782,26796
HOU,Houston,USA,SAT,San Antonio,USA,29.6454,-95.2789,29.5337,-98.4698,44221
ISP,Long Island Macarthur,USA,MDW,Chicago,USA,40.7952,-73.1002,41.7861,-87.7525,12604
JAX,Jacksonville (US) FL,USA,BHM,Birmingham (US),USA,30.4941,-81.6879,33.5629,-86.7535,4247
FLL,Fort Lauderdale,USA,MSY,New Orleans,USA,26.0726,-80.1527,29.9934,-90.258,8494
HOU,Houston,USA,MSY,New Orleans,USA,29.6454,-95.2789,29.9934,-90.258,74792
DAL,Dallas/Fort Worth,USA,AMA,Amarillo,USA,32.8471,-96.8518,35.2194,-101.706,28138
TUL,Tulsa,USA,HOU,Houston,USA,36.1984,-95.8881,29.6454,-95.2789,14823
TUL,Tulsa,USA,LAS,Las Vegas,USA,36.1984,-95.8881,36.0801,-115.152,4247
MDW,Chicago,USA,MHT,Manchester (US),USA,41.7861,-87.7525,42.9326,-71.4357,8494
MHT,Manchester (US),USA,MDW,Chicago,USA,42.9326,-71.4357,41.7861,-87.7525,8357
MSY,New Orleans,USA,BWI,Baltimore,USA,29.9934,-90.258,39.1753,-76.6683,4247
OAK,Oakland,USA,BOI,Boise,USA,37.7213,-122.221,43.5644,-116.223,4247
FLL,Fort Lauderdale,USA,JAX,Jacksonville (US) FL,USA,26.0726,-80.1527,30.4941,-81.6879,27239
HOU,Houston,USA,CRP,Corpus Christi,USA,29.6454,-95.2789,27.7704,-97.5012,20764
MCI,Kansas City,USA,MCO,Orlando,USA,39.2976,-94.7139,28.4294,-81.309,12544
MCO,Orlando,USA,MCI,Kansas City,USA,28.4294,-81.309,39.2976,-94.7139,12604
HRL,Harlingen,USA,SAT,San Antonio,USA,26.2285,-97.6544,29.5337,-98.4698,7832
LAS,Las Vegas,USA,BOI,Boise,USA,36.0801,-115.152,43.5644,-116.223,8494
OMA,Omaha,USA,LAS,Las Vegas,USA,41.3032,-95.8941,36.0801,-115.152,11779
HOU,Houston,USA,TPA,Tampa,USA,29.6454,-95.2789,27.9755,-82.5332,548
JAN,Jackson (US) MS,USA,MDW,Chicago,USA,32.3112,-90.0759,41.7861,-87.7525,8104
JAX,Jacksonville (US) FL,USA,FLL,Fort Lauderdale,USA,30.4941,-81.6879,26.0726,-80.1527,26712
LAS,Las Vegas,USA,AUS,Austin,USA,36.0801,-115.152,30.1945,-97.6699,12214
OKC,Oklahoma City,USA,PHX,Phoenix,USA,35.3931,-97.6007,33.4343,-112.012,12559
ONT,Ontario,USA,SMF,Sacramento,USA,34.056,-117.601,38.6954,-121.591,46389
PBI,West Palm Beach,USA,BWI,Baltimore,USA,26.6832,-80.0956,39.1753,-76.6683,16714
LBB,Lubbock,USA,DAL,Dallas/Fort Worth,USA,33.6636,-101.823,32.8471,-96.8518,29014
JAX,Jacksonville (US) FL,USA,MSY,New Orleans,USA,30.4941,-81.6879,29.9934,-90.258,4247
LAS,Las Vegas,USA,ELP,El Paso,USA,36.0801,-115.152,31.8072,-106.378,8104
PVD,Providence,USA,BWI,Baltimore,USA,41.7326,-71.4204,39.1753,-76.6683,49320
RNO,Reno,USA,SAN,San Diego,USA,39.4991,-119.768,32.7336,-117.19,548
LAS,Las Vegas,USA,MCI,Kansas City,USA,36.0801,-115.152,39.2976,-94.7139,24660
LBB,Lubbock,USA,ABQ,Albuquerque,USA,33.6636,-101.823,35.0402,-106.609,7106
PHX,Phoenix,USA,OKC,Oklahoma City,USA,33.4343,-112.012,35.3931,-97.6007,12589
MDW,Chicago,USA,BDL,Hartford,USA,41.7861,-87.7525,41.9392,-72.6833,8494
MDW,Chicago,USA,ISP,Long Island Macarthur,USA,41.7861,-87.7525,40.7952,-73.1002,12741
MDW,Chicago,USA,TPA,Tampa,USA,41.7861,-87.7525,27.9755,-82.5332,12604
MSY,New Orleans,USA,SAN,San Diego,USA,29.9934,-90.258,32.7336,-117.19,4247
OAK,Oakland,USA,BNA,Nashville,USA,37.7213,-122.221,36.1245,-86.6782,4247
MAF,Midland/odessa,USA,AUS,Austin,USA,31.9425,-102.202,30.1945,-97.6699,6856
MCI,Kansas City,USA,SAN,San Diego,USA,39.2976,-94.7139,32.7336,-117.19,4247
MCI,Kansas City,USA,TUL,Tulsa,USA,39.2976,-94.7139,36.1984,-95.8881,11529
MCO,Orlando,USA,MHT,Manchester (US),USA,28.4294,-81.309,42.9326,-71.4357,12741
MDW,Chicago,USA,SDF,Louisville,USA,41.7861,-87.7525,38.1744,-85.736,22879
MHT,Manchester (US),USA,MCO,Orlando,USA,42.9326,-71.4357,28.4294,-81.309,12741
MSY,New Orleans,USA,FLL,Fort Lauderdale,USA,29.9934,-90.258,26.0726,-80.1527,8494
MSY,New Orleans,USA,HOU,Houston,USA,29.9934,-90.258,29.6454,-95.2789,75787
SAT,San Antonio,USA,ELP,El Paso,USA,29.5337,-98.4698,31.8072,-106.378,14275
SDF,Louisville,USA,MDW,Chicago,USA,38.1744,-85.736,41.7861,-87.7525,22444
MCI,Kansas City,USA,LAS,Las Vegas,USA,39.2976,-94.7139,36.0801,-115.152,24478
MCI,Kansas City,USA,PVD,Providence,USA,39.2976,-94.7139,41.7326,-71.4204,4247
MCI,Kansas City,USA,SJC,San Jose (US),USA,39.2976,-94.7139,37.3626,-121.929,4247
MDW,Chicago,USA,ABQ,Albuquerque,USA,41.7861,-87.7525,35.0402,-106.609,4247
MDW,Chicago,USA,JAN,Jackson (US) MS,USA,41.7861,-87.7525,32.3112,-90.0759,8494
SAN,San Diego,USA,RNO,Reno,USA,32.7336,-117.19,39.4991,-119.768,548
SAT,San Antonio,USA,LAS,Las Vegas,USA,29.5337,-98.4698,36.0801,-115.152,16288
MSY,New Orleans,USA,JAX,Jacksonville (US) FL,USA,29.9934,-90.258,30.4941,-81.6879,4247
OAK,Oakland,USA,ONT,Ontario,USA,37.7213,-122.221,34.056,-117.601,52215
ONT,Ontario,USA,BNA,Nashville,USA,34.056,-117.601,36.1245,-86.6782,4247
ONT,Ontario,USA,OAK,Oakland,USA,34.056,-117.601,37.7213,-122.221,50088
SMF,Sacramento,USA,ONT,Ontario,USA,38.6954,-121.591,34.056,-117.601,46198
ORF,Norfolk,USA,BWI,Baltimore,USA,36.8946,-76.2012,39.1753,-76.6683,27126
PVD,Providence,USA,BNA,Nashville,USA,41.7326,-71.4204,36.1245,-86.6782,8357
SAN,San Diego,USA,MSY,New Orleans,USA,32.7336,-117.19,29.9934,-90.258,4247
PDX,Portland (US) OR,USA,RNO,Reno,USA,45.5887,-122.598,39.4991,-119.768,14840
PVD,Providence,USA,TPA,Tampa,USA,41.7326,-71.4204,27.9755,-82.5332,12741
SAN,San Diego,USA,SMF,Sacramento,USA,32.7336,-117.19,38.6954,-121.591,48346
SAN,San Diego,USA,TUS,Tucson,USA,32.7336,-117.19,32.1161,-110.941,13777
SAT,San Antonio,USA,HRL,Harlingen,USA,29.5337,-98.4698,26.2285,-97.6544,7457
SAT,San Antonio,USA,HOU,Houston,USA,29.5337,-98.4698,29.6454,-95.2789,47112
SJC,San Jose (US),USA,BUR,Burbank,USA,37.3626,-121.929,34.2007,-118.359,33144
PVD,Providence,USA,MCI,Kansas City,USA,41.7326,-71.4204,39.2976,-94.7139,4247
RNO,Reno,USA,PDX,Portland (US) OR,USA,39.4991,-119.768,45.5887,-122.598,15153
RNO,Reno,USA,BOI,Boise,USA,39.4991,-119.768,43.5644,-116.223,11957
SAN,San Diego,USA,AUS,Austin,USA,32.7336,-117.19,30.1945,-97.6699,4247
SAN,San Diego,USA,MCI,Kansas City,USA,32.7336,-117.19,39.2976,-94.7139,4247
SMF,Sacramento,USA,SAN,San Diego,USA,38.6954,-121.591,32.7336,-117.19,48245
TPA,Tampa,USA,MDW,Chicago,USA,27.9755,-82.5332,41.7861,-87.7525,12741
SJC,San Jose (US),USA,MCI,Kansas City,USA,37.3626,-121.929,39.2976,-94.7139,4247
SJC,San Jose (US),USA,RNO,Reno,USA,37.3626,-121.929,39.4991,-119.768,23564
TPA,Tampa,USA,PVD,Providence,USA,27.9755,-82.5332,41.7326,-71.4204,12741
TUS,Tucson,USA,SAN,San Diego,USA,32.1161,-110.941,32.7336,-117.19,13700
BNA,Nashville,USA,CMH,Columbus (US) OH,USA,36.1245,-86.6782,39.998,-82.8919,7398
BNA,Nashville,USA,MDW,Chicago,USA,36.1245,-86.6782,41.7861,-87.7525,30358
BNA,Nashville,USA,SAT,San Antonio,USA,36.1245,-86.6782,29.5337,-98.4698,4247
TPA,Tampa,USA,HOU,Houston,USA,27.9755,-82.5332,29.6454,-95.2789,548
STL,St Louis,USA,BHM,Birmingham (US),USA,38.7487,-90.37,33.5629,-86.7535,4247
TUL,Tulsa,USA,MCI,Kansas City,USA,36.1984,-95.8881,39.2976,-94.7139,11073
BWI,Baltimore,USA,LIT,Little Rock,USA,39.1753,-76.6683,34.7294,-92.2243,4247
BWI,Baltimore,USA,MDW,Chicago,USA,39.1753,-76.6683,41.7861,-87.7525,31820
BWI,Baltimore,USA,SAN,San Diego,USA,39.1753,-76.6683,32.7336,-117.19,3562
CMH,Columbus (US) OH,USA,BNA,Nashville,USA,39.998,-82.8919,36.1245,-86.6782,7398
LAS,Las Vegas,USA,LIT,Little Rock,USA,36.0801,-115.152,34.7294,-92.2243,4247
LIT,Little Rock,USA,BWI,Baltimore,USA,34.7294,-92.2243,39.1753,-76.6683,4247
LIT,Little Rock,USA,LAS,Las Vegas,USA,34.7294,-92.2243,36.0801,-115.152,4247
MCI,Kansas City,USA,PDX,Portland (US) OR,USA,39.2976,-94.7139,45.5887,-122.598,4247
MDW,Chicago,USA,BNA,Nashville,USA,41.7861,-87.7525,36.1245,-86.6782,29565
MDW,Chicago,USA,BWI,Baltimore,USA,41.7861,-87.7525,39.1753,-76.6683,32424
BDL,Hartford,USA,BNA,Nashville,USA,41.9392,-72.6833,36.1245,-86.6782,8494
OAK,Oakland,USA,RNO,Reno,USA,37.7213,-122.221,39.4991,-119.768,19207
PDX,Portland (US) OR,USA,MCI,Kansas City,USA,45.5887,-122.598,39.2976,-94.7139,4247
ABQ,Albuquerque,USA,LAS,Las Vegas,USA,35.0402,-106.609,36.0801,-115.152,23784
ABQ,Albuquerque,USA,TPA,Tampa,USA,35.0402,-106.609,27.9755,-82.5332,4247
AUS,Austin,USA,HRL,Harlingen,USA,30.1945,-97.6699,26.2285,-97.6544,3782
BDL,Hartford,USA,BWI,Baltimore,USA,41.9392,-72.6833,39.1753,-76.6683,35346
BHM,Birmingham (US),USA,MDW,Chicago,USA,33.5629,-86.7535,41.7861,-87.7525,8357
BNA,Nashville,USA,BDL,Hartford,USA,36.1245,-86.6782,41.9392,-72.6833,8357
BNA,Nashville,USA,TPA,Tampa,USA,36.1245,-86.6782,27.9755,-82.5332,16303
ABQ,Albuquerque,USA,MCI,Kansas City,USA,35.0402,-106.609,39.2976,-94.7139,11859
AUS,Austin,USA,BWI,Baltimore,USA,30.1945,-97.6699,39.1753,-76.6683,8220
AUS,Austin,USA,TPA,Tampa,USA,30.1945,-97.6699,27.9755,-82.5332,4247
BHM,Birmingham (US),USA,SDF,Louisville,USA,33.5629,-86.7535,38.1744,-85.736,7922
BNA,Nashville,USA,MCI,Kansas City,USA,36.1245,-86.6782,39.2976,-94.7139,15716
RNO,Reno,USA,OAK,Oakland,USA,39.4991,-119.768,37.7213,-122.221,23632
SAN,San Diego,USA,BWI,Baltimore,USA,32.7336,-117.19,39.1753,-76.6683,3562
SAT,San Antonio,USA,BNA,Nashville,USA,29.5337,-98.4698,36.1245,-86.6782,4247
BNA,Nashville,USA,JAX,Jacksonville (US) FL,USA,36.1245,-86.6782,30.4941,-81.6879,11779
BWI,Baltimore,USA,BDL,Hartford,USA,39.1753,-76.6683,41.9392,-72.6833,35483
BWI,Baltimore,USA,BHM,Birmingham (US),USA,39.1753,-76.6683,33.5629,-86.7535,16303
DAL,Dallas/Fort Worth,USA,ELP,El Paso,USA,32.8471,-96.8518,31.8072,-106.378,21148
ELP,El Paso,USA,DAL,Dallas/Fort Worth,USA,31.8072,-106.378,32.8471,-96.8518,20413
DAL,Dallas/Fort Worth,USA,MSY,New Orleans,USA,32.8471,-96.8518,29.9934,-90.258,25461
DAL,Dallas/Fort Worth,USA,SAT,San Antonio,USA,32.8471,-96.8518,29.5337,-98.4698,51089
BWI,Baltimore,USA,AUS,Austin,USA,39.1753,-76.6683,30.1945,-97.6699,8494
